budget,revenue,runtime,rating,poster_brightness,poster_saturation,poster_dom_r,poster_dom_g,poster_dom_b,budget_imputed,num_production_companies,num_production_countries,budget_per_minute,num_genres,is_action,is_animation,is_comedy,is_drama,is_scifi,num_cast,has_cast,num_directors,release_year,release_month,is_summer,is_holiday,is_weekend_month,movie_age,decade,num_keywords,has_keywords,in_collection,is_english
1.1021997938842365,17.673843462114572,0.7641417629890361,1.290825839888439,197.22,149.69,191.0,116.0,92.0,0,3,1,1.442402244281014,2,0,0,0,1,0,5,1,1,2000,9,0,0,0,24,2000,31,1,0,1
0.6289749077087743,17.667783580218067,0.2540236542731393,0.8760081582183125,156.92,63.86,155.0,135.0,115.0,0,4,2,2.4760485770843537,4,0,0,1,1,0,5,1,1,2000,3,0,0,0,24,2000,26,1,0,1
0.1557500329119643,17.681219326583612,-0.8125869366782814,-2.2703448235060444,68.74,200.48,68.0,33.0,17.0,0,2,1,0.0,2,0,0,0,0,0,5,1,1,2000,10,0,0,0,24,2000,7,1,1,1
0.5818721504151835,17.666798487976212,-0.3952175750016385,-1.2428045284795048,74.38,139.92,74.0,24.0,20.0,0,3,1,0.0,4,1,0,0,0,0,5,1,1,2000,12,0,1,1,24,2000,15,1,1,1
0.6289749077087743,17.634420715684733,-1.4154537924334325,0.25993122398586,227.64,61.95,226.0,207.0,178.0,0,3,1,0.0,3,0,1,1,0,0,5,1,1,2000,2,0,0,0,24,2000,2,1,0,1
0.0312756122609805,17.505917694576855,1.506131739303068,1.6955805589304491,188.78,44.22,182.0,175.0,168.0,0,15,8,0.020765522327716605,2,0,0,0,1,0,5,1,1,2000,9,0,0,0,24,2000,20,1,0,1
0.8253809800967935,17.515404405329008,-0.0242225868446226,-1.1678913622479723,79.04,143.13,78.0,46.0,28.0,0,3,3,0.0,4,0,0,0,1,0,5,1,1,2000,8,0,0,0,24,2000,5,1,0,1
1.298605869116918,17.49078356276184,0.8568905100282902,0.2767028283660535,83.23,125.19,48.0,64.0,70.0,0,5,3,1.5154863473444753,3,0,0,0,1,0,5,1,1,2000,11,0,1,0,24,2000,13,1,0,1
0.1086472772438966,17.468098442791344,-0.4415919485212655,-1.5983625413396128,71.08,139.95,70.0,44.0,18.0,0,4,1,0.0,2,0,0,0,0,0,5,1,1,2000,9,0,0,0,24,2000,11,1,1,1
-0.1930004045451736,17.505570240334762,0.2540236542731393,2.0477842509145194,135.29,56.45,133.0,116.0,111.0,0,4,1,-0.7597733569238778,2,0,0,0,0,0,5,1,1,2000,10,0,0,0,24,2000,36,1,0,1
0.0580523445747323,17.4596830589945,0.3467724013123933,0.0720892549276893,180.96,89.18,174.0,148.0,118.0,0,4,1,0.16740762631347725,2,0,0,1,0,0,4,1,1,2000,8,0,0,0,24,2000,4,1,0,1
0.734216535261482,17.42044566330906,-0.0242225868446226,-0.608837882908179,180.38,108.42,180.0,130.0,100.0,0,1,1,0.0,2,0,0,0,1,0,5,1,1,2000,11,0,1,0,24,2000,11,1,0,1
1.2545441813313685,17.419774898119332,-0.5807150690801465,0.292356325787568,111.78,110.31,105.0,76.0,70.0,0,4,1,0.0,5,1,1,0,0,1,5,1,2,2000,6,1,0,0,24,2000,6,1,0,1
0.4766305236752362,17.415558825694,0.3931467748320202,0.2856476840354902,197.36,67.49,182.0,169.0,169.0,0,2,1,1.212347535799794,2,0,0,1,0,0,5,1,1,2000,4,0,0,0,24,2000,4,1,0,1
-0.4698191860931016,17.386387758645366,-0.5807150690801465,0.3974583799034494,222.41,12.42,222.0,219.0,212.0,0,4,1,0.0,3,0,0,1,1,0,5,1,1,2000,1,0,0,0,24,2000,3,1,0,1
1.2635869519934009,17.373711716926124,-0.7198381896390275,-2.3228958505639845,193.52,173.62,84.0,128.0,169.0,0,6,2,0.0,5,0,1,1,0,0,5,1,1,2000,6,1,0,0,24,2000,13,1,0,1
-0.3645775715445667,17.349773569633715,-0.2560944544427575,1.189078106648597,55.77,66.34,52.0,40.0,42.0,0,4,2,0.0,3,0,0,0,1,0,5,1,1,2000,1,0,0,0,24,2000,22,1,1,1
0.1557500329119643,17.335971390039045,0.5786442689105282,0.8502916981686823,230.88,59.55,229.0,205.0,183.0,0,2,1,0.26916370087827973,3,0,0,1,1,0,5,1,1,2000,4,0,0,0,24,2000,12,1,0,1
1.298605869116918,17.325979895617994,-0.0705969603642495,-0.7049950813546227,125.07,153.18,124.0,74.0,53.0,0,5,2,0.0,3,1,0,0,0,1,5,1,1,2000,11,0,1,0,24,2000,7,1,0,1
0.734216535261482,17.32486221908934,0.1612749072338853,0.5092690757714077,123.95,165.71,123.0,66.0,46.0,0,9,4,4.55257763191084,2,0,0,1,1,0,5,1,1,2000,2,0,0,0,24,2000,25,1,0,1
0.858690961764343,17.286512912380974,-0.1633457074035035,-0.7139399370240594,89.26,184.66,88.0,52.0,31.0,0,2,1,0.0,3,1,0,0,0,0,5,1,1,2000,2,0,0,0,24,2000,11,1,0,1
1.298605869116918,17.358402708540517,1.7380036069012028,0.738481002300723,95.76,90.17,73.0,72.0,84.0,0,2,1,0.7471824937304273,2,0,0,0,0,0,5,1,1,2000,12,0,1,1,24,2000,10,1,0,1
0.9777253664060624,17.26091335591448,-0.4879663220408924,-1.503323449851848,39.56,170.31,38.0,19.0,16.0,0,4,1,0.0,3,0,0,0,1,0,5,1,1,2000,10,0,0,0,24,2000,5,1,0,1
0.734216535261482,17.259128687459263,-0.6734638161194004,0.6937567239535395,168.43,133.35,126.0,125.0,126.0,1,3,1,0.0,5,0,1,0,0,1,5,1,1,2000,3,0,0,0,24,2000,3,1,1,0
0.8253809800967935,17.223322879257925,0.4395211483516472,-0.726239113569535,173.37,113.51,173.0,129.0,110.0,0,3,1,1.8779095913638082,3,1,0,0,0,0,5,1,1,2000,8,0,0,0,24,2000,27,1,1,1
0.5045004825063288,17.21452148440769,-0.6270894425997734,0.0620262922995736,95.58,32.54,95.0,90.0,88.0,0,2,1,0.0,2,0,0,1,0,0,5,1,1,2000,5,1,0,0,24,2000,9,1,0,1
0.8904510694850519,17.207521338390873,0.5322698953909012,-3.378388819557515,70.78,162.29,18.0,51.0,70.0,0,2,1,1.6729314905760375,3,1,0,0,0,1,5,1,1,2000,5,1,0,0,24,2000,14,1,0,1
-0.6662252262416106,17.236510599602347,0.2540236542731393,1.0325431324334542,64.46,71.37,63.0,36.0,35.0,0,7,1,-2.622689718199436,3,1,0,0,1,0,5,1,1,2000,12,0,1,1,24,2000,25,1,1,0
0.4766305236752362,17.195313706397236,0.0221517866750043,-0.2734057953043031,218.19,39.41,216.0,200.0,194.0,0,7,2,21.516572485462675,3,0,0,1,0,0,5,1,1,2000,8,0,0,0,24,2000,10,1,0,1
0.734216535261482,17.14649525303888,-0.5807150690801465,0.6031900603004936,164.56,157.3,89.0,121.0,145.0,0,4,3,0.0,4,0,0,1,0,0,5,1,1,2000,10,0,0,0,24,2000,4,1,0,1
0.3521560996106586,17.137957582619023,0.8105161365086632,1.1029838708302688,176.1,104.48,176.0,147.0,101.0,0,2,1,0.4344837613321158,3,0,0,1,1,0,5,1,1,2000,4,0,0,0,24,2000,12,1,0,1
0.6058296678164982,17.088874605995333,0.3467724013123933,0.6031900603004936,153.38,22.63,153.0,143.0,141.0,0,2,1,1.7470527225456176,2,0,0,0,1,0,5,1,1,2000,5,1,0,0,24,2000,10,1,1,1
-0.1210687638074993,17.08623787539843,-0.6734638161194004,0.1738369881675319,191.5,100.25,157.0,154.0,161.0,0,6,2,0.0,2,0,0,1,0,0,5,1,1,2000,1,0,0,0,24,2000,9,1,0,1
